City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Dubai,AE,25.26,55.3,95.0,44,77,8.05,broken clouds
351,Palmer,US,42.16,-72.33,69.01,77,20,3.11,few clouds
352,Tornio,FI,65.85,24.15,33.8,100,76,5.82,broken clouds
353,Upata,VE,8.01,-62.4,82.0,76,25,1.99,scattered clouds
354,Miandrivazo,MG,-19.52,45.47,77.61,50,62,2.24,broken clouds
355,Luanda,AO,-8.84,13.23,69.8,88,40,6.93,scattered clouds
356,Wladyslawowo,PL,54.79,18.4,59.0,93,100,13.87,moderate rain
357,Gorontalo,ID,0.54,123.06,81.81,67,38,6.15,scattered clouds
358,Dyersburg,US,36.03,-89.39,78.8,88,75,9.17,broken clouds
359,Perth,AU,-31.93,115.83,59.0,76,34,5.82,scattered clouds
360,Elizabeth City,US,36.29,-76.25,84.2,83,1,6.93,clear sky
