City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Cancun,MX,84.2,broken clouds,21.17,-86.85,Hotel Tankah Cancun
623,Lazaro Cardenas,MX,82.27,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
625,Bambanglipuro,ID,78.44,few clouds,-7.95,110.28,Puri Brata
627,Mitsamiouli,KM,75.07,few clouds,-11.38,43.28,Foyer ADM
628,Itaituba,BR,77.67,overcast clouds,-4.28,-55.98,Hotel Campos
629,Honghu,CN,77.97,clear sky,29.82,113.46,文泉花园酒店
630,Pasni,PK,81.34,scattered clouds,25.26,63.47,3G hotel pasni
632,Bubaque,GW,80.62,light rain,11.28,-15.83,Casa Dora
636,Guilin,CN,73.4,clear sky,25.28,110.29,Grand 0773 Hotel
640,Polonnaruwa,LK,77.41,broken clouds,7.93,81.0,Thisara Guest House
642,Marawi,PH,80.01,overcast clouds,8.0,124.29,Salihmaruhom
643,Santa Margherita Ligure,IT,75.99,light rain,44.33,9.21,Hotel Portofino
644,Maragogi,BR,73.87,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
645,Los Llanos De Aridane,ES,77.0,clear sky,28.66,-17.92,Valle Aridane
646,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
647,Mount Holly,US,86.0,thunderstorm,35.3,-81.02,Holiday Inn Express & Suites Charlotte Arpt-Belmont
649,Beeville,US,95.0,clear sky,28.4,-97.75,Holiday Inn Express & Suites Beeville
650,Zhanakorgan,KZ,71.67,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
654,Dhone,IN,74.91,overcast clouds,15.42,77.88,Krishna Lodge Dhone
655,Morehead,US,75.2,moderate rain,37.27,-87.18,CCI Express Inn
656,Muisne,EC,78.8,broken clouds,0.6,-80.03,Quinta Samay
657,Cornelio Procopio,BR,78.8,clear sky,-23.18,-50.65,Hotel Midas Cornélio Procópio
660,Maningrida,AU,78.24,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
663,Itapaci,BR,73.96,broken clouds,-14.95,-49.55,Gold Pallace Hotel
665,Damietta,EG,77.0,clear sky,31.42,31.81,العواد لتجارة الابلكاش
668,Majene,ID,80.15,clear sky,-3.54,118.97,Kost Putri RABBANI
670,El Dorado,US,84.2,clear sky,33.21,-92.67,"Country Inn & Suites by Radisson, El Dorado, AR"
671,Fiumicino,IT,80.01,clear sky,41.77,12.23,Al Porticciolo Hotel
672,Pochutla,MX,78.01,light rain,15.74,-96.47,Hotel Posada San Jose
673,Tocoa,HN,85.51,overcast clouds,15.68,-86.0,GRAN HOTEL SANABRIA
674,Mpulungu,ZM,73.78,few clouds,-8.76,31.11,Nawelah Lodge
675,Black River,JM,86.0,scattered clouds,18.03,-77.85,Idlers' Rest Beach Hotel
676,Aswan,EG,80.83,clear sky,24.09,32.91,Nuba Nile
678,Sur,OM,83.35,broken clouds,22.57,59.53,Sur Plaza Hotel
680,Mansa,IN,80.19,clear sky,29.98,75.38,STARiHOTEL Mansa
685,Belle Fourche,US,75.0,clear sky,44.67,-103.85,Kings Inn
687,Vila Velha,BR,71.6,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
